Nombre,Link,Precio,Cantidad
ESP32 TTGO T7 Mini32 V1.5,https://afel.cl/producto/placa-esp32-ttgo-t7-mini32-v1-5/?utm_term=&utm_campaign=@+Impresoras&utm_source=adwords&utm_medium=ppc&hsa_acc=1808722794&hsa_cam=1711725544&hsa_grp=132210926362&hsa_ad=566253383757&hsa_src=g&hsa_tgt=dsa-19959388920&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAjw17qvBhBrEiwA1rU9w2hNa3gY4SlwGx6RP0Da9OrJmuiEGRNnbqNHzOFpTjgfva2akmJd_hoCVY8QAvD_BwE,16000,1
Conector DB15,https://articulo.mercadolibre.cl/MLC-987675008-conector-terminal-db15-da15-dsub-macho-con-cubierta-max--_JM?matt_tool=52707430&matt_word=&matt_source=google&matt_campaign_id=14571116349&matt_ad_group_id=127448632472&matt_match_type=&matt_network=g&matt_device=c&matt_creative=544459510499&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=350136068&matt_product_id=MLC987675008&matt_product_partition_id=2268405188379&matt_target_id=pla-2268405188379&cq_src=google_ads&cq_cmp=14571116349&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gclid=CjwKCAjw17qvBhBrEiwA1rU9w4azDF71LDtsDrbBI8MChu5nztRuVNlof4GKFOZPRhRckB4PRtcbixoC2mQQAvD_BwE,3000,1
PCB 7x5cm,https://afel.cl/producto/placa-pcb-perforada-doble-capa-5x7cm/,1500,2
AMP-OP UA741CP,https://altronics.cl/ic-lm741,350,3
KIT RESISTENCIAS 1/4W,https://afel.cl/producto/kit-600-resistencias-1-4w-30-valores/?utm_term=&utm_campaign=@+Impresoras&utm_source=adwords&utm_medium=ppc&hsa_acc=1808722794&hsa_cam=1711725544&hsa_grp=132210926362&hsa_ad=566253383757&hsa_src=g&hsa_tgt=dsa-19959388920&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAjw17qvBhBrEiwA1rU9w-5hT8MQLyujZd7GgRQKQa0WHHSdH2H_MeK8V_h3L3eDDfNtRQTnRRoC-cYQAvD_BwE,5000,1
